Chromosome	Start	End	Tumor_Count	Normal_Count	Segment_Mean
chr1	10208	27703225	2129311	5276293	-0.359964237575682
chr1	27703226	36974290	867455	1565690	-0.0680349530231878
chr1	36974291	37908882	95167	214248	-0.206009350384152
chr1	37908883	249240606	15584206	19304422	-0.0545885882580709
chr2	10001	44081853	4467867	5557941	0.0804882088344296
chr2	44081854	44097641	959	271	1.80345657178429
chr2	44097642	141632514	8343835	9505539	0.07971895286703
chr2	141632515	142190002	23790	29258	-0.821041017994308
chr2	142190003	142502253	20016	18365	-0.313326420760119
chr2	142502254	176328168	3102920	2654940	0.113115699166092
chr2	176328169	242852975	5502317	6998197	-0.126847694736768
chr2	242852976	243189359	4903	18138	-0.932723863090337
chr3	60174	60348626	5031396	7320571	-0.178707957694529
chr3	60348627	60516882	9699	14031	-0.654910737879546
chr3	60516883	90153046	2219782	2364489	-0.195696490896459
chr3	90153047	90312362	14530	5697	1.04431223209751
chr3	93505229	197962416	11068622	9593398	0.301157572774204
chr4	68818	191014415	15179874	15220678	-0.0288566311343311
chr5	11769	12719561	1121245	1838281	-0.183817918601015
chr5	12719562	50905615	3012635	2662122	0.0885654509784058
chr5	50905616	140164066	6836079	7464122	-0.11741406839914
chr5	140164067	140827088	60494	64459	0.103667234573786
chr5	140827089	180905246	3388578	5051461	-0.161284294042016
chr6	63814	39081767	5561804	4936846	0.595567093431822
chr6	39081768	41033227	296874	347668	0.462246757371214
chr6	41033228	45559413	702636	759268	0.636406398588868
chr6	45559414	63706302	1952298	1042727	0.782211854896935
chr6	63706303	67082033	313381	187909	0.352822821284916
chr6	67082034	171050932	7698942	8965825	-0.198512523898619
chr7	10127	121475475	10414306	11501315	0.0838242038541555
chr7	121475476	159128640	4046645	4432963	0.266338160364993
chr8	23379	3424479	322375	495009	0.0283344657243568
chr8	3424480	4002376	34006	55151	-0.665735189276891
chr8	4002377	20185326	1413986	1603443	0.0446088319371764
chr8	20185327	21638407	151683	240425	-0.0313378287954578
chr8	21638408	117874702	8634703	8459012	0.104694435366103
chr8	117874703	144714095	3129316	3606442	0.226230606637006
chr8	144714096	146303846	185351	320126	0.322506913933975
chr9	10001	130815906	8206162	10471634	-0.11836126441317
chr9	130815907	130975706	20413	36397	0.322806484950803
chr9	130975707	141153413	1033202	2369929	-0.100744034478887
chr10	61818	39071037	4143805	4322082	0.238291525403668
chr10	42401843	135524732	7702889	11346980	-0.136428244747527
chr11	195901	55028328	3539361	5719737	-0.363476066537039
chr11	55028329	134946455	6792006	9956889	-0.119559432419619
chr12	188219	22377670	1766230	2478676	-0.164774249285455
chr12	22377671	23642036	144116	94080	0.451624984424431
chr12	23642037	132379711	9807817	11438280	0.0528011494321616
chr12	132379712	133841505	136926	279412	0.00220500605691535
chr13	19020028	56347187	2596687	3758787	-0.341663271047258
chr13	56347188	115109864	4580395	4730972	-0.112352656646955
chr14	19060249	107289526	8460011	9759244	0.0971189705923751
chr15	20042434	90113183	6454081	8019032	0.107259615253603
chr15	90113184	102521366	1455638	1653303	0.257978369381358
chr16	60001	5472443	627357	1233860	0.134936055533109
chr16	5472444	6200433	77433	121056	-0.064841894602203
chr16	6200434	7377355	85565	145161	-0.520609120797321
chr16	7377356	28614098	1917740	2833830	0.0439280265874735
chr16	28628646	33963063	277967	479620	0.180073884421504
chr16	34196882	90294729	3384949	6632323	-0.394933561934744
chr17	1	31258421	2720795	4165969	0.1170837729105
chr17	31258422	33226493	216066	366189	-0.0347852337219252
chr17	33226494	81195162	4913124	7416579	0.121995739777908
chr18	10064	15378413	1354391	1624399	0.0362753341776097
chr18	18531767	78017233	4986233	6071641	-0.128972107215998
chr19	70880	21049198	1904190	4145900	-0.0612721896066326
chr19	21049199	21098381	4433	12517	-0.721770754347173
chr19	21098382	58850789	2957045	5567512	-0.0934579224275963
chr19	58850790	59015910	21482	38246	0.276115608134232
chr19	59015911	59118869	8034	20440	-0.150900762939659
chr20	60001	62965506	6314122	9212556	0.0648806586325662
chr21	9422166	48119869	3185984	3883525	0.0563438627925689
chr22	16051206	18753772	126246	234791	-0.116896635006431
chr22	18753773	51244552	3478361	6108078	0.0891489185616291
chrX	2699503	58319614	2498889	2630946	0.0819178311337669
chrX	58319615	62045719	19977	18304	-0.376838570076168
chrX	62045720	154930285	3815013	3746123	0.0828834251596958
chrY	2649474	19566983	374401	304687	0.423055804239325
chrY	19566984	28783838	77038	91098	-0.17485004865886
